,RMSE,MAE,NSE,r,Slope,P99_ratio,FSS_20mm,CSI_20mm,CSI_40mm,POD_20mm,POD_40mm
Guinean (4-10N),13.1475,6.3943,0.1402,0.4033,0.1949,0.4524,0.1856,0.1334,0.0357,0.1638,0.0375
Sudanian (10-15N),10.121,4.8413,0.1942,0.4706,0.2308,0.5166,0.1596,0.1341,0.026,0.1627,0.0274
Sahelian (15-23N),3.5699,0.8759,0.1247,0.3879,0.1522,0.4477,0.2495,0.0279,0.0006,0.0292,0.0006
